"荷印コード","荷印名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"5301",荷5301,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5302",荷5302,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5303",荷5303,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5304",荷5304,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5305",荷5305,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5306",荷5306,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5307",荷5307,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5308",荷5308,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5309",荷5309,ﾆ530,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5310",荷5310,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5311",荷5311,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5312",荷5312,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5313",荷5313,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5314",荷5314,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5315",荷5315,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5316",荷5316,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5317",荷5317,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5318",荷5318,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5319",荷5319,ﾆ531,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5320",荷5320,ﾆ532,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5335",荷5335,ﾆ533,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5336",荷5336,ﾆ533,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5337",荷5337,ﾆ533,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5338",荷5338,ﾆ533,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5340",荷5340,ﾆ534,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5341",荷5341,ﾆ534,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5342",荷5342,ﾆ534,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5350",荷5350,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5351",荷5351,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5352",荷5352,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5353",荷5353,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5354",荷5354,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5355",荷5355,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5356",荷5356,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5357",荷5357,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5358",荷5358,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5359",荷5359,ﾆ535,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"5360",荷5360,ﾆ536,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
