"等級コード","等級名","検索カナ","汎用数値１","汎用数値２","汎用数値３","汎用数値４","汎用数値５","汎用日付１","汎用日付２","汎用日付３","汎用日付４","汎用日付５","汎用摘要１","汎用摘要２","汎用摘要３","汎用摘要４","汎用摘要５"
"602","等602","ﾄ602",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"603","等603","ﾄ603",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"604","等604","ﾄ604",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"605","等605","ﾄ605",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"606","等606","ﾄ606",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"607","等607","ﾄ607",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"608","等608","ﾄ608",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"609","等609","ﾄ609",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"610","等610","ﾄ610",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"611","等611","ﾄ611",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"612","等612","ﾄ612",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"613","等613","ﾄ613",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"614","等614","ﾄ614",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"615","等615","ﾄ615",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"616","等616","ﾄ616",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"620","等620","ﾄ620",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"621","等621","ﾄ621",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"622","等622","ﾄ622",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"623","等623","ﾄ623",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"624","等624","ﾄ624",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"625","等625","ﾄ625",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"630","等630","ﾄ630",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"631","等631","ﾄ631",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"632","等632","ﾄ632",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"633","等633","ﾄ633",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"634","等634","ﾄ634",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"635","等635","ﾄ635",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"640","等640","ﾄ640",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"641","等641","ﾄ641",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"642","等642","ﾄ642",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"650","等650","ﾄ650",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"651","等651","ﾄ651",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"660","等660","ﾄ660",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"661","等661","ﾄ661",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"662","等662","ﾄ662",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"663","等663","ﾄ663",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"664","等664","ﾄ664",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"665","等665","ﾄ665",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"666","等666","ﾄ666",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"667","等667","ﾄ667",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"668","等668","ﾄ668",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
"669","等669","ﾄ669",0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,"","","","",""
